title,artist,old_low,old_high,new_low,new_high,source_url
Longer,Dan Fogelberg,G2,C4,D3,G4,https://singingcarrots.com/artist-range?artist=Dan%20Fogelberg
Leader of the Band,Dan Fogelberg,G2,C4,C3,G#4,https://singingcarrots.com/artist-range?artist=Dan%20Fogelberg
Same Old Lang Syne,Dan Fogelberg,G2,C4,G3,C5,https://singingcarrots.com/artist-range?artist=Dan%20Fogelberg
Shout to the Lord,Darlene Zschech,G2,D4,E4,B5,https://singingcarrots.com/artist-range?artist=Darlene%20Zschech
Space Oddity,David Bowie,G2,D4,G3,F4,https://singingcarrots.com/artist-range?artist=David%20Bowie
Life on Mars?,David Bowie,G2,F4,F3,A#4,https://singingcarrots.com/artist-range?artist=David%20Bowie
How He Loves,David Crowder Band,G2,D4,A2,G4,https://singingcarrots.com/artist-range?artist=David%20Crowder%20Band
Everybody Loves Somebody,Dean Martin,G2,D4,G#2,B3,https://singingcarrots.com/artist-range?artist=Dean%20Martin
Volare,Dean Martin,G2,D4,C4,E5,https://singingcarrots.com/artist-range?artist=Dean%20Martin
That's Amore,Dean Martin,G2,D4,C3,D4,https://singingcarrots.com/artist-range?artist=Dean%20Martin
For Forever,Dear Evan Hansen,C3,D4,G2,B4,https://singingcarrots.com/artist-range?artist=Dear%20Evan%20Hansen
You Will Be Found,Dear Evan Hansen,C3,D4,G#3,F5,https://singingcarrots.com/artist-range?artist=Dear%20Evan%20Hansen
Waving Through a Window,Dear Evan Hansen,C3,D4,A2,A#4,https://singingcarrots.com/artist-range?artist=Dear%20Evan%20Hansen
American Pie,Don McLean,G2,D4,D3,B4,https://singingcarrots.com/artist-range?artist=Don%20McLean
Give Thanks,Don Moen,G2,D4,A2,C4,https://singingcarrots.com/artist-range?artist=Don%20Moen
Save Tonight,Eagle-Eye Cherry,A2,D4,G3,A4,https://singingcarrots.com/artist-range?artist=Eagle-Eye%20Cherry
Perfect,Ed Sheeran,A2,D4,G3,G#4,https://singingcarrots.com/artist-range?artist=Ed%20Sheeran
Thinking Out Loud,Ed Sheeran,A2,D4,A3,A4,https://singingcarrots.com/artist-range?artist=Ed%20Sheeran
Photograph,Ed Sheeran,A2,D4,C3,C5,https://singingcarrots.com/artist-range?artist=Ed%20Sheeran
Shape of You,Ed Sheeran,A2,D4,G#2,B3,https://singingcarrots.com/artist-range?artist=Ed%20Sheeran
Castle on the Hill,Ed Sheeran,A2,D4,A2,A5,https://singingcarrots.com/artist-range?artist=Ed%20Sheeran
Give Me Love,Ed Sheeran,A2,D4,G2,B4,https://singingcarrots.com/artist-range?artist=Ed%20Sheeran
Oh Happy Day,Edwin Hawkins Singers,G2,D4,E3,D4,https://singingcarrots.com/artist-range?artist=Edwin%20Hawkins%20Singers
Graves into Gardens,Elevation Worship,G2,E4,F#4,G#5,https://singingcarrots.com/artist-range?artist=Elevation%20Worship
Your Song,Elton John,A#1,F#3,A#1,F#3,https://singingcarrots.com/artist-range?artist=Elton%20John
Rocket Man,Elton John,F2,A#3,F2,A#3,https://singingcarrots.com/artist-range?artist=Elton%20John
I'm Still Standing,Elton John,G2,D4,E2,C4,https://singingcarrots.com/artist-range?artist=Elton%20John
Tiny Dancer,Elton John,G2,D4,G2,C4,https://singingcarrots.com/artist-range?artist=Elton%20John
Daniel,Elton John,A2,D4,F2,C4,https://singingcarrots.com/artist-range?artist=Elton%20John
Sacrifice,Elton John,A2,D4,G2,F3,https://singingcarrots.com/artist-range?artist=Elton%20John
Candle in the Wind,Elton John,A1,A3,A1,A3,https://singingcarrots.com/artist-range?artist=Elton%20John
Sorry Seems to Be the Hardest Word,Elton John,A2,D4,G2,A#3,https://singingcarrots.com/artist-range?artist=Elton%20John
Levon,Elton John,A2,D4,C2,F3,https://singingcarrots.com/artist-range?artist=Elton%20John
Wonderful Tonight,Eric Clapton,G2,C4,D3,E4,https://singingcarrots.com/artist-range?artist=Eric%20Clapton
Tears in Heaven,Eric Clapton,G2,C4,E3,E4,https://singingcarrots.com/artist-range?artist=Eric%20Clapton
Change the World,Eric Clapton,G2,D4,F2,A3,https://singingcarrots.com/artist-range?artist=Eric%20Clapton
My Father's Eyes,Eric Clapton,G2,D4,D3,E4,https://singingcarrots.com/artist-range?artist=Eric%20Clapton
More Than Words,Extreme,A2,D4,G#3,F#4,https://singingcarrots.com/artist-range?artist=Extreme
If I Were a Rich Man,Fiddler on the Roof,C3,D4,B3,E5,https://singingcarrots.com/artist-range?artist=Fiddler%20on%20the%20Roof
"Sunrise, Sunset",Fiddler on the Roof,C3,D4,D4,D#5,https://singingcarrots.com/artist-range?artist=Fiddler%20on%20the%20Roof
Tradition,Fiddler on the Roof,C3,D4,C4,E5,https://singingcarrots.com/artist-range?artist=Fiddler%20on%20the%20Roof
Old Devil Moon,Finian's Rainbow,C3,D4,C3,D#4,https://singingcarrots.com/artist-range?artist=Finian%27s%20Rainbow
Landslide,Fleetwood Mac,A2,D4,D3,G4,https://singingcarrots.com/artist-range?artist=Fleetwood%20Mac
Everlong,Foo Fighters,G2,D4,B2,G4,https://singingcarrots.com/artist-range?artist=Foo%20Fighters
Fly Me to the Moon,Frank Sinatra,B2,G4,B2,G4,https://singingcarrots.com/artist-range?artist=Frank%20Sinatra
My Way,Frank Sinatra,A2,F4,A2,F4,https://singingcarrots.com/artist-range?artist=Frank%20Sinatra
That's Life,Frank Sinatra,D3,F#4,D3,F#4,https://singingcarrots.com/artist-range?artist=Frank%20Sinatra
Come Fly with Me,Frank Sinatra,C3,E4,C3,E4,https://singingcarrots.com/artist-range?artist=Frank%20Sinatra
It Was a Very Good Year,Frank Sinatra,A2,C4,A2,C4,https://singingcarrots.com/artist-range?artist=Frank%20Sinatra
Strangers in the Night,Frank Sinatra,A2,D4,A2,D4,https://singingcarrots.com/artist-range?artist=Frank%20Sinatra
Witchcraft,Frank Sinatra,C3,D4,C3,D4,https://singingcarrots.com/artist-range?artist=Frank%20Sinatra
Young at Heart,Frank Sinatra,B2,C#4,B2,C#4,https://singingcarrots.com/artist-range?artist=Frank%20Sinatra
All the Way,Frank Sinatra,G#2,D4,G#2,D4,https://singingcarrots.com/artist-range?artist=Frank%20Sinatra
My Kind of Town,Frank Sinatra,D3,F4,D3,F4,https://singingcarrots.com/artist-range?artist=Frank%20Sinatra
I've Got the World on a String,Frank Sinatra,G2,C4,G2,C4,https://singingcarrots.com/artist-range?artist=Frank%20Sinatra
Summer Wind,Frank Sinatra,A2,D4,F2,F4,https://singingcarrots.com/artist-range?artist=Frank%20Sinatra
Nice 'n' Easy,Frank Sinatra,C3,D4,C3,D4,https://singingcarrots.com/artist-range?artist=Frank%20Sinatra
Come Dance with Me,Frank Sinatra,B2,D#4,B2,D#4,https://singingcarrots.com/artist-range?artist=Frank%20Sinatra
Learnin' the Blues,Frank Sinatra,C3,F4,C3,F4,https://singingcarrots.com/artist-range?artist=Frank%20Sinatra
Love and Marriage,Frank Sinatra,A2,D4,A2,D4,https://singingcarrots.com/artist-range?artist=Frank%20Sinatra
The Coffee Song,Frank Sinatra,C3,E4,C3,E4,https://singingcarrots.com/artist-range?artist=Frank%20Sinatra
Chicago (That Toddlin' Town),Frank Sinatra,D3,F4,D3,F4,https://singingcarrots.com/artist-range?artist=Frank%20Sinatra
Puttin' on the Ritz,Fred Astaire,G2,C4,C3,F4,https://singingcarrots.com/artist-range?artist=Fred%20Astaire
Cheek to Cheek,Fred Astaire,A2,D4,B2,E4,https://singingcarrots.com/artist-range?artist=Fred%20Astaire
If Tomorrow Never Comes,Garth Brooks,G2,C4,A2,D4,https://singingcarrots.com/artist-range?artist=Garth%20Brooks
Friends in Low Places,Garth Brooks,F2,A#3,G2,A4,https://singingcarrots.com/artist-range?artist=Garth%20Brooks
She's Every Woman,Garth Brooks,G2,C4,B2,C#4,https://singingcarrots.com/artist-range?artist=Garth%20Brooks
The Dance,Garth Brooks,G2,C4,G2,E4,https://singingcarrots.com/artist-range?artist=Garth%20Brooks
Unanswered Prayers,Garth Brooks,G2,C4,E2,D4,https://singingcarrots.com/artist-range?artist=Garth%20Brooks
Wrapped Up in You,Garth Brooks,G2,C4,C#3,E4,https://singingcarrots.com/artist-range?artist=Garth%20Brooks
Budapest,George Ezra,E2,A#3,C3,C4,https://singingcarrots.com/artist-range?artist=George%20Ezra
He Stopped Loving Her Today,George Jones,G2,C4,B2,E4,https://singingcarrots.com/artist-range?artist=George%20Jones
Ocean Front Property,George Strait,G2,C4,B2,D4,https://singingcarrots.com/artist-range?artist=George%20Strait
Check Yes or No,George Strait,A2,D4,A#2,D4,https://singingcarrots.com/artist-range?artist=George%20Strait
